;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;Numero_inspection;Date_inspection;APP_Libelle_activite_etablissement;Synthese_eval_sanit;Agrement;geores;filtre;ods_type_activite
5856;Les noisetiers;P00008464001;Le Fraisse;43150;Le Monastier-sur-Gazeille;21-046267-1;2021-06-10 02:00:00+02:00;Transformation de lait ou produits laitiers;Satisfaisant;;44.936268,4.019159;;Lait et produits laitiers
6411;Relais du Sud;P00002742002;VAIMALAU;98600;Uvea;21-047437-1;2021-06-16 02:00:00+02:00;Libre service|Alimentation générale;Très satisfaisant;;-13.340817,-176.214354;Libre service|Alimentation générale;Autres
6417;ST MATALOSE - STATION FATIMA;P00008684001;VAITUPU  HIHIFO;98600;Uvea;21-047438-1;2021-06-17 02:00:00+02:00;Libre service|Alimentation générale;Satisfaisant;;-13.228435,-176.191452;Libre service|Alimentation générale;Autres
6971;ACCA LARRIVIERE ST SAVIN .;A85190005001;DARGELOS Jean Emmanuel président;40270;Larrivière-Saint-Savin;21-101301-1;2021-12-09 01:00:00+01:00;Collecte de gibier sauvage;Très satisfaisant;;43.768991,-0.427289;;Abattoirs
7193;BEURON THIERRY;A15021001001;AV ADOLPHE TURREL;11210;Port-la-Nouvelle;21-047999-1;2021-06-14 02:00:00+02:00;Mareyage et préparation de produits de la pêche;Satisfaisant;11266017;43.025173,3.04317;;Produits de la mer et d'eau douce
8201;FENUA MARKET;F00000093001;Mata'Utu;98600;Uvea;21-051428-1;2021-06-24 02:00:00+02:00;Libre service|Alimentation générale;Satisfaisant;;-13.272696,-176.169786;Libre service|Alimentation générale;Autres
8524;POISSONNERIE;P00009473001;27 RUE AUGUSTE COMTE;11000;Carcassonne;21-052139-1;2021-06-24 02:00:00+02:00;Poissonnerie;A corriger de manière urgente;;43.211104,2.369839;Poissonnerie;Autres
9165;Snack Ugatai;F00000099001;Fenuarama;98600;Uvea;21-053880-1;2021-07-01 02:00:00+02:00;Restaurant;Très satisfaisant;;-13.2815,-176.186743;Restaurant;Autres
9304;Restaurant Nul Part Ailleurs;P00009674001;Gahi Mua;98600;Uvea;21-053882-1;2021-07-07 02:00:00+02:00;Restaurant;Satisfaisant;;-13.332384,-176.197144;Restaurant;Autres
9764;LA PETITE CANTINE;P00009866001;22 rue des tables;43000;Le Puy-en-Velay;21-054901-1;2021-07-08 02:00:00+02:00;Restaurant;A améliorer;;45.045501,3.88341;Restaurant;Autres
10322;L'Auberge St Séverin;F00000141001;28 Rue St Séverin;75005;Paris 5e  Arrondissement;21-080827-1;2021-10-07 02:00:00+02:00;Restaurant;Satisfaisant;;48.852497,2.345016;Restaurant;Autres
10434;WAKAM;P00013423001;22, Rue Crespin du Gast;75011;Paris 11e  Arrondissement;21-071684-1;2021-08-17 02:00:00+02:00;Restaurant;Satisfaisant;;48.865114,2.382368;Restaurant;Autres
11010;FONLEBECK LEANDRE;A54224021001;DURIVAL;97160;Le Moule;21-079586-1;2021-09-09 02:00:00+02:00;Centre d'emballage des oeufs;Satisfaisant;;16.333857,-61.421643;;Œufs et ovoproduits
12730;RESTARANT ALIZEE PLAGE;P00001489001;PRJP+6C2;98600;Uvea;21-091963-1;2021-11-16 01:00:00+01:00;Restaurant;Très satisfaisant;;-13.269525,-176.164009;Restaurant;Autres
13071;SNACK BAR BIENVENUE;P00014059001;BP 547;98600;Uvea;21-075192-1;2021-09-22 02:00:00+02:00;Restaurant;Satisfaisant;;-13.283121,-176.171997;Restaurant;Autres
13100;Centre Pierre Crdinal;F00000110001;Charnaud;43200;Saint-Julien-du-Pinet;21-059336-1;2021-07-23 02:00:00+02:00;Restauration collective;Satisfaisant;;45.147324,4.054399;Restauration collective;Autres
13123;L'Escale du Canal;P00010872001;Rue de la Bonneterie;89700;Tonnerre;21-059838-1;2021-07-23 02:00:00+02:00;Restaurant;Satisfaisant;;47.863662,3.97722;Restaurant;Autres
13258;Cantine de Lano;F00000114001;lano;98600;Uvea;21-061971-1;2021-07-27 02:00:00+02:00;Restauration collective;Satisfaisant;;-13.25691,-176.168949;Restauration collective;Autres
13766;LYCEE REGIONAL MARITIME AQUACOLE .;A37319011001;ROUTE DE MOUILLEBARBE;17590;Ars-en-Ré;21-036485-1;2021-05-06 02:00:00+02:00;Purification/Expédition de coquillages;Très satisfaisant;17019010;46.211669,-1.51446;;Produits de la mer et d'eau douce
14498;garderie chez micki;P00007269001;liku Hahake;98600;Uvea;21-062347-1;2021-08-05 02:00:00+02:00;Restauration collective;Très satisfaisant;;-13.270537,-176.169212;Restauration collective;Autres
14937;LES TERRASSES DE L'ALLIER;F00000126001;;43580;Monistrol-d'Allier;21-073525-1;2021-09-16 02:00:00+02:00;Restaurant;Satisfaisant;;44.978084,3.633846;Restaurant;Autres
15065;Cantine Ecole MalaEtoli;F00000129001;MALAETOLI;98600;Uvea;21-066206-1;2021-08-03 02:00:00+02:00;Restauration collective;Très satisfaisant;;-13.319222,-176.230404;Restauration collective;Autres
15488;CHEZ LA GAZELLE;F00000133001;50 avenue Victor HUGO;93320;Les Pavillons-sous-Bois;21-071384-1;2021-09-09 02:00:00+02:00;Restaurant;Satisfaisant;;48.908959,2.515893;Restaurant;Autres
15798;DURINGA JUNIORS;F00000131001;BP 41;43200;Yssingeaux;21-058878-1;2021-07-23 02:00:00+02:00;Restauration collective;Satisfaisant;;45.139056,4.125107;Restauration collective;Autres
15957;Restaurant ALEKA - LA PAILLOTTE;P00011945001;BP 1016 Mata Utu;98600;Uvea;21-065148-1;2021-08-17 02:00:00+02:00;Restaurant;Satisfaisant;;-13.335196,-176.187906;Restaurant;Autres
17034;Mini Mag;F00000107001;;98600;Uvea;21-058249-1;2021-07-13 02:00:00+02:00;Alimentation générale|Traiteur;Satisfaisant;;-13.343832,-176.205545;Alimentation générale|Traiteur;Autres
17682;Epicerie HELETAGI;P00012647001;bord de mer;98600;Uvea;21-068337-1;2021-08-26 02:00:00+02:00;Libre service|Alimentation générale;Satisfaisant;;-13.275934,-176.168466;Libre service|Alimentation générale;Autres
